PlateVal,Include,Color,Pos,Name,Cp,Pos_Tm,Tm1,Tm2
624,TRUE,65280,B6,Sample 18,,B6,,
624,TRUE,255,B7,Sample 19,26.45,B7,81.81,
624,TRUE,255,B8,Sample 20,34.17,B8,,
624,TRUE,255,B9,Sample 21,32.32,B9,,
624,TRUE,255,B10,Sample 22,40,B10,,
624,TRUE,65280,B11,Sample 23,,B11,,
624,TRUE,65280,B12,Sample 24,,B12,,
624,TRUE,65280,C1,Sample 25,,C1,,
624,TRUE,65280,C2,Sample 26,,C2,,
624,TRUE,65280,C3,Sample 27,,C3,,
624,TRUE,65280,C4,Sample 28,,C4,,
624,TRUE,255,C5,Sample 29,35.59,C5,80.75,84.02
624,TRUE,65280,C6,Sample 30,,C6,82.43,92.64
624,TRUE,255,C7,Sample 31,29.95,C7,81.78,
624,TRUE,255,C8,Sample 32,34.49,C8,,
624,TRUE,255,C9,Sample 33,35.53,C9,,
624,TRUE,255,C10,Sample 34,28.24,C10,,
624,TRUE,255,C11,Sample 35,37.21,C11,,
624,TRUE,255,C12,Sample 36,37.61,C12,,
624,TRUE,65280,D1,Sample 37,,D1,,
624,TRUE,65280,D2,Sample 38,,D2,,
624,TRUE,65280,D3,Sample 39,,D3,,
624,TRUE,65280,D4,Sample 40,,D4,,
624,TRUE,255,D5,Sample 41,40,D5,77.99,
624,TRUE,255,D6,Sample 42,34.66,D6,83.04,
624,TRUE,255,D7,Sample 43,34.98,D7,81.42,
624,TRUE,255,D8,Sample 44,20.12,D8,,
624,TRUE,255,D9,Sample 45,31.83,D9,,
624,TRUE,255,D10,Sample 46,31.6,D10,,
624,TRUE,255,D11,Sample 47,29.2,D11,,
